fund_name,aic,shapiro_p,ljungbox_p,runs_p,pass_all
"Lighthouse Credit Opportunities Fund, Ltd. Class B",337.69899189371597,0.07580942337492776,0.6299267748768439,0.31485395233775604,True
Lighthouse Diversified Fund Limited,234.14324803081507,0.004114125345216015,0.5613142131910112,0.15515397274963671,False
"Lighthouse Diversified Fund, L.P.",260.3115006473642,0.34359367863433543,0.8851419220805454,0.6876577997456863,True
Lighthouse Global Long/Short Fund L.P,345.3930110842126,0.007730959422344422,0.40464453047288484,0.2277762709715887,False
Lighthouse Global Long/Short Fund Ltd.,345.4833175340475,0.009708912592076327,0.4142162327826757,0.2277762709715887,False
Lighthouse Multi-Strategy Fund LP Series C,256.2085782227949,0.0014326162177979516,0.6154109557190267,0.04441233364526065,False
Lighthouse Multi-Strategy Fund Ltd Class C,255.3803259086762,0.0010821987185048528,0.5682483569928231,0.10780396285509863,False
Lighthouse V Fund Limited (Class A),253.61968934423547,0.5829874890777865,0.9118933083142626,0.015855979706169032,False
Master Capital Fund Limited,437.77585258732853,0.13450111282069027,0.8588152551817976,0.04441233364526065,False
"Masters Research Partners, L.P.",406.2219354787094,0.5060392191937626,0.6998585250843281,0.5464731290798559,True
MB Dislocation Opportunity Fund,185.22111809402614,0.0002785572861598323,0.6692978813738865,0.027022267193961058,False
Optima Fund L.P.,440.2089061517108,0.002228867608403184,0.8187905264608326,0.14948394558960354,False
Optima Fund Limited Class A,430.53467196325494,0.0009648021875015329,0.8319607602105267,0.04865866529401597,False
Optima Multi-Sector Fund L.P.,429.96909994205953,0.022795179611242267,0.967297200953695,0.31485395233775604,False
Optima Partners Focus Fund (A),472.0784170091385,0.6371679763951533,0.7773577961520991,0.04441233364526065,False
Optima Partners Focus Fund LLC (A),467.15626794308616,0.20175554601929596,0.6870766308647345,0.2277762709715887,True
Optima Partners Global Fund LLC,443.9241612812835,0.006121450563782887,0.9570433188545036,0.2277762709715887,False
Optima Partners Global Fund Ltd.,436.99081771521867,0.011749516252767492,0.9353321561915939,0.10780396285509863,False
Opus Diversified Fund LLC,281.5571351020411,0.05351869975995173,0.24204845415465123,0.15939040677403393,True
"Oxbridge Partners, L.P.-Series A",361.9639629198583,0.2583658031277314,0.7358476999751777,0.2277762709715887,True
P & A  Diversified Managers Fund L.P.,418.44347330288923,0.0010510439567871606,0.6079293511019094,0.31485395233775604,False
"P & A Balanced Fund, L.P.",422.5822255873305,0.007407084253097103,0.2913581937956913,0.8406846414712399,False
P & A Multi Sector Fund L.P.,431.569466060386,0.0013403496571004019,0.37253837817737623,0.8406846414712399,False
"P & A Multi-Sector Fund II, L.P.",432.40486901423407,0.0012877703726360782,0.3877815107860053,0.31485395233775604,False
"P & A Select Strategy Fund, L.P.",426.169104141337,0.0018944583871510878,0.5456016222562968,0.8406846414712399,False
Pine Grove Institutional Partners L.P. - Class C,215.2467435386442,0.2014799004931664,0.9414463850638459,0.6876577997456863,True
Pine Grove Offshore Fund Ltd. Class C Shares,217.90552065610623,0.1781915331995037,0.9243781275475152,0.6876577997456863,True
"Pine Grove Partners, L.P. - Class C",211.7298941496702,0.7530411450982287,0.9286032836855204,0.8406846414712399,True
"Pinnacle Natural Resources, L.P.",450.24473460881205,0.0057998675441598615,0.7046990930719974,0.8406846414712399,False
"Pinnacle Opportunity, L.P.",467.5603133112266,0.00023538574228848722,0.31047717516016365,0.5464731290798559,False
R Opal Europe Equity C  EUR,554.7704775144365,0.0009670344332715039,0.3670714393820534,1.0,False
R Opal Global Equity Class C EUR,546.6515813751956,0.002240425110189585,0.7323702924491289,0.2277762709715887,False
R Opal Global Equity Class F EUR,546.4631368144371,0.0022981397800047976,0.7258007493442481,0.10780396285509863,False
Signet Global Multi Strategy Fund Class GBP,271.8966318418984,0.12636056531406736,0.3758726277446779,0.6876577997456863,True
Silvercrest Emerging Markets Fund,412.7490236480398,0.0331920945935672,0.9263109186034628,0.6876577997456863,False
Silvercrest Hedged Equity Fund,353.5324377564986,0.04055138125627207,0.48062239533294304,0.10780396285509863,False
TAS Fixed Income Arbitrage - Class H (USD),121.83177010432992,0.09238592604423998,0.4128294013968439,0.6876577997456863,True
TAS Global Macro - Class A (USD),354.66964923101676,0.9209119350141652,0.6902215193769905,1.0,True
TAS Global Macro - Class B (EUR),354.8877945310865,0.8310309521707844,0.7108462305311574,0.6876577997456863,True
