fund_name,type,order,aic,residuals
OC Dynamic Fund,Hedge Fund,"(0, 0, 0)",545.5152613303873,"[-11.4483  -3.6483   3.4517  -0.2483   6.7517  -0.1483   0.2517   6.1517
   0.0517   1.2517   1.4517  -3.8483  -3.8483  -3.8483  -3.8483  -5.6483
  -9.1483   5.3517  -3.9483  -5.6483   5.5517   0.1317   5.1517  -0.8483
  -7.5483  -2.0483   0.2517   0.9517  -0.4483   5.7517  -1.7483   7.2517
   5.7517   3.3517  -2.2483  -0.7083  -6.9483  -3.6483   8.5517   3.2517
   4.5517   0.6517  -2.2483  -0.1483  -1.9483   2.8517   0.3517  -1.5483
  -1.4483  -0.6983   2.6517   2.8517  -2.3983  -1.9283  -0.8483  -1.0383
  -1.0883   6.4917  -1.9283   0.0917   1.3017  -2.9483   2.4317  -0.6283
   0.8117   3.2217   2.3517   1.0517  -6.8383  -4.5183   2.9917  -1.3283
   3.3917  -2.9983   4.9417  -0.0483   0.8017  -5.1483  -4.9383   0.8717
  -2.0583   0.4217   2.9217  -1.5183  -0.6583   4.7117  -0.4783   3.1917
   0.5517   2.4017   0.1617   3.1617   0.7617   1.6517  -3.5383  -1.2783
   2.2417  -1.3783   0.0317   1.5117]"
OC Premium Small Companies Fund,Hedge Fund,"(0, 0, 0)",546.1555427528091,"[-11.2519  -2.9519   3.4481  -0.1519   6.2481   0.5481   0.0481   5.0481
  -0.1519   1.7481   2.9481  -4.3519  -3.2519  -3.8519  -3.3519  -4.5519
  -7.5519   5.0481  -4.1519  -5.3519   5.0481   0.0381   5.2481  -0.5519
  -7.1519  -1.1519   0.5481   1.2481   0.2481   5.2481  -2.0519   7.1481
   5.8481   3.1481  -2.4019  -1.2019  -6.5519  -4.5519   8.4481   3.0481
   4.1481   1.3481  -3.0519   0.7481  -3.0519   4.2481   0.2481  -1.6519
  -2.0519  -2.4619   1.4581   3.2381  -3.8419  -1.4819  -0.8019   0.6481
  -0.9419   6.4281  -1.7519  -0.6619   1.7281  -5.1919   1.7481  -2.6219
   1.8781   4.0581   1.8781   1.4681  -7.2919  -2.5519   3.2081  -0.2319
   4.3481  -3.1419   5.4681  -0.2319   0.1381  -6.4319  -5.4919   1.7081
  -3.4719  -0.9219   0.9581  -1.0019   0.2081   3.8181  -0.5819   0.7581
   0.3281   2.0681   1.0981   3.1781   1.5381   1.8781  -4.3019  -1.1119
   3.7581  -0.1119  -0.1919   3.0881]"
R Opal Global Equity Class F EUR,Fund of Funds,"(1, 0, 0)",546.4631368144371,"[-3.27000000e+00  1.22957797e+00 -1.77281357e+00 -7.66238706e-01
  2.54365912e+00  9.51836216e-01  3.03867318e+00  4.22359988e+00
 -9.13149720e-01  6.25422775e-01 -3.15533541e+00  9.86210579e-01
  6.00553827e-01 -3.99804680e+00  1.06809123e+00 -1.21815016e+01
  3.97418631e+00  6.00427069e+00 -6.85578855e+00  1.00095202e+01
  3.46725750e+00  1.61983858e+00  1.81865837e+00 -1.44956316e+00
 -3.34521842e+00  2.95930106e+00  3.02865837e+00 -5.18229000e-02
  9.62142750e-01 -1.67524804e+00  1.23992744e+00 -2.18892346e-01
  3.91953354e+00  1.26873093e+00  4.78969347e+00 -7.38762041e-01
  1.77887754e+00 -3.48441730e+00  7.48455507e-01 -2.51813416e+00
  1.00405302e+00  8.73075669e-01  1.74587442e+00  7.68104543e-01
 -1.02001481e+00 -1.64941506e-01  2.63766770e+00 -1.89153118e+00
  3.66516067e+00  3.24999253e-01 -2.58236341e-01  1.32906708e+00
  1.84185103e+00  1.72427069e+00  4.87427069e+00 -1.56240199e-01
  7.81354213e+00  5.35157262e+00  3.57972159e+00 -2.88567156e+00
  4.69161854e+00 -5.37118171e+00  3.84361618e+00 -8.79256627e+00
 -4.35119353e+00  9.91091960e+00  2.72837996e+00 -4.23099216e+00
 -6.92275432e+00 -1.15989633e+00  1.16339701e+00 -8.53552495e+00
 -3.85371537e+00 -9.08534872e+00 -4.76537685e+00  2.07737747e+00
 -2.00014810e-01  5.84766770e-01  1.99784244e+00  2.68791500e+00
  5.00145115e-01  1.61428550e+00  1.16876055e+00  5.39606098e-01
  8.87652894e-01 -1.25048127e+00  8.03192657e-01 -1.03010218e+00
  2.92776988e+00  2.62827928e+00 -5.47799502e-01  1.99533541e-01
  2.68981045e+00 -2.83218718e+00 -2.89865837e+00  3.62116690e+00
  4.17433727e-01 -1.61459203e+00  1.31357175e+00 -1.16037337e-02]"
"SM Investors Offshore, Ltd",Hedge Fund,"(0, 0, 0)",546.5398939987462,"[-5.6094 -5.9294  3.9206 -2.7494  4.5906  7.4006 -2.2794  1.6506 -2.6694
  1.9806 -1.8394  2.8206 -0.3794 -2.5594 -5.3294 -8.3094 -9.3294  8.8906
 -2.4994 -1.7294  3.6206  2.0806  4.6206 -2.2494 -4.4794  5.1306  1.7706
  2.7806  3.6906 -3.7594 -1.6794  4.5606  1.9306 -1.2094  3.6706  4.1806
  0.3006  2.3406  2.9906 -0.8294  3.4806  0.9206  0.4006  3.5306 -6.5194
  2.6606  0.6906 -1.8594  3.5606  2.4806 -1.2094  0.2306 -3.7894  2.0306
  1.2706 -0.3594 -5.5494  4.9206  1.5706 -0.3294 -0.2794 -1.2694 -1.0594
 -6.9794 -0.9194  6.1706  1.9906 -5.5394 -4.7294 -2.2494  6.4506 -0.4994
  1.0506  1.6606  0.8106 -1.1394 -1.1794 -2.9294  1.8806  0.2306  2.8406
  1.7106  1.6206  0.1006 -5.1794 -0.4094  2.7306 -3.5294 -0.9594 -4.4794
  0.5606  3.9306 -1.4194 -6.1194 -4.0194 -2.5794 -1.7594  8.5506 -3.7894
  3.0906]"
Tosca Master,Hedge Fund,"(0, 0, 0)",546.5647820411474,"[ -5.0492  -2.8892   3.2208  -3.4792   1.9808   3.5408  -3.9192   3.0108
  -1.4792  -1.4192   0.2808   1.4108   8.1408  -0.2592  -0.1992  -6.7292
  -6.5592   5.9208  -4.4392  -2.6492   4.1708   4.6708   1.1208  -2.5692
  -6.7592  -0.4592  -0.7092   2.4408   1.6508   6.3608   1.0808   1.9308
   4.6308  -0.5092   1.1108   1.5008   4.3708  -1.8092  -0.0592  -2.7392
   1.6308   3.2708   0.8108   4.8608  -3.7292   2.0408  -4.8992  -2.9392
  -0.5792  -1.6192  -1.6092  -0.0692  -0.8192  -1.8492   0.3708  -1.2992
  -0.5692   6.8308  -0.3592   1.4308   0.0408  -1.9192   2.6508  -1.9792
  -2.3292   0.8908   0.5208  -1.3792 -10.9892  -4.8192  -0.0592   0.3408
   4.6908 -15.5492   6.2708   1.5608  -0.1292   2.3108  -1.4792   2.2708
  -0.0292   1.2908   3.8208   2.0508   3.1408   2.5808   1.3708   1.3208
   2.3508  -0.6392  -3.2692   0.5608   6.7508   0.3308  -3.9292   2.9008
  -5.5092  -2.1992   0.6508  -3.2292]"
R Opal Global Equity Class C EUR,Fund of Funds,"(1, 0, 0)",546.6515813751956,"[-3.22000000e+00  1.27356100e+00 -1.73121315e+00 -7.33219502e-01
  2.58789608e+00  1.00243689e+00  3.07830752e+00  4.27367972e+00
 -8.75556764e-01  6.67544009e-01 -3.11366915e+00  1.03006789e+00
  6.42279954e-01 -3.95642842e+00  1.12244541e+00 -1.21513404e+01
  4.03505628e+00  6.04347401e+00 -6.82755253e+00  1.00666427e+01
  3.49225233e+00  1.66051959e+00  1.86924707e+00 -1.41044964e+00
 -3.31253446e+00  3.01502865e+00  3.05765216e+00 -1.02439243e-02
  1.00387486e+00 -1.64384518e+00  1.28445176e+00 -1.87465542e-01
  3.96318982e+00  1.30841567e+00  4.84058747e+00 -7.11378612e-01
  1.83245599e+00 -3.45505834e+00  8.33991536e-01 -2.48263203e+00
  9.97563112e-01  8.72710495e-01  1.78529374e+00  8.00587474e-01
 -9.87035002e-01  2.75918770e+00  2.21053869e+00 -1.86946131e+00
  3.70126194e+00  3.56566256e-01 -2.25136803e-01  1.35275928e+00
  1.87628207e+00  1.75666383e+00  4.90666383e+00 -1.25732801e-01
  7.84676140e+00  5.37045170e+00  3.61097981e+00 -2.86482294e+00
  4.71812090e+00 -5.34857055e+00  3.88163312e+00 -8.76080172e+00
 -4.31260440e+00  9.94793429e+00  2.75660652e+00 -4.20986217e+00
 -6.89540189e+00 -1.12019720e+00  1.18842419e+00 -8.40078261e+00
 -3.70100949e+00 -8.90935522e+00 -4.56134246e+00  2.09448996e+00
 -1.78629912e-01  6.20000000e-01  2.03111558e+00  2.72028419e+00
  5.31957563e-01  1.63731919e+00  1.20291621e+00  5.62358421e-01
  9.22407206e-01 -1.22746554e+00  8.29060452e-01 -1.00526406e+00
  2.96354189e+00  2.65023540e+00 -5.14422077e-01  2.33189820e-01
  2.73331707e+00 -2.81179005e+00 -2.87200635e+00  3.65834573e+00
  4.49198283e-01 -1.59151644e+00  1.34966703e+00  2.13700883e-02]"
Schroder ISF Asian Opportunities C Acc EUR,Hedge Fund,"(0, 0, 0)",547.2961367803231,"[ -1.2882   1.0618  -1.5182  -0.2382   1.5918  -0.2682   3.8618   2.2518
  -5.1682  -5.7882   2.4618  -0.2782   2.9818  -3.3482   1.9618 -10.2182
  -7.9482   7.5918  -4.1282   3.5318   7.3918   1.7618  -0.1282   1.9718
  -3.4782  -0.8382   5.6618  -3.0982   3.4718  -2.1282   1.2918   0.0618
  -1.1182   3.7518   0.1818  -0.8482  -1.5382  -8.0482  -1.9482  -4.7582
   1.7718   2.9218  -1.1182  -2.3882  -4.1682   3.4518   0.5218   0.0518
   2.0018   1.4018   3.5418   2.1418  -1.2482   1.2718   1.0618  -0.9382
  10.4718   1.9118   2.8218  -2.9682   0.4218  -5.6082  -1.5382  -9.3882
  -3.0082   7.4218   1.5618  -4.5382  -7.4782  -1.8382   3.8518  -1.9582
   2.1518   0.7218   5.1618   2.6818   0.6118  -0.9782  -1.5482  -2.4982
   4.4718   3.3418   2.6918   1.6518  -0.2582   0.7818   1.5318   0.2118
  -0.8382   6.8218  -2.7582   0.8518   0.7918  -3.2982  -3.9982   1.1918
   4.4618  -4.4882  -1.6582  -2.9482]"
"Wynnefield Small Cap Value Offshore Fund, Ltd.",Hedge Fund,"(0, 0, 0)",547.3809957526441,"[-3.95950e+00 -4.01950e+00  2.85050e+00  3.81050e+00  1.16050e+00
  3.66050e+00  5.70500e-01  2.36050e+00  5.10500e-01  8.10500e-01
  5.30050e+00  2.67050e+00  5.00000e-04  4.63050e+00  1.59050e+00
 -4.68950e+00 -9.22950e+00  4.45050e+00 -6.42950e+00 -3.88950e+00
  3.66050e+00  4.97050e+00  2.03050e+00 -2.47950e+00 -3.22950e+00
  1.46050e+00 -7.29500e-01 -2.96950e+00  5.23050e+00  7.50500e-01
 -1.50950e+00  3.10050e+00 -1.65950e+00 -3.45950e+00  3.87050e+00
 -4.49500e-01  5.13050e+00  1.76050e+00  1.57050e+00  1.26050e+00
  1.94050e+00  1.33050e+00  1.17050e+00 -1.96950e+00 -4.39500e-01
 -2.54950e+00  3.47050e+00 -2.03950e+00  6.80500e-01  6.91050e+00
 -2.94950e+00  3.30500e-01 -5.37950e+00 -1.29950e+00 -1.92950e+00
 -3.89500e-01 -3.32950e+00 -2.19500e-01 -3.45950e+00  1.15050e+00
  9.90500e-01 -2.61950e+00 -4.74950e+00 -3.73950e+00 -6.32950e+00
  1.18305e+01  5.47050e+00 -3.69500e-01 -1.07395e+01 -4.09950e+00
  5.77050e+00  5.19050e+00 -3.29500e-01 -3.89500e-01  6.56050e+00
  2.64050e+00 -2.09500e-01 -3.00950e+00  4.21050e+00 -1.78950e+00
 -3.02950e+00 -5.04950e+00 -2.26950e+00 -8.95000e-02  3.50050e+00
  2.70050e+00 -1.79950e+00 -2.14950e+00 -1.03950e+00  4.65050e+00
 -1.46950e+00 -5.95000e-02 -2.29500e-01 -1.71950e+00 -1.81950e+00
 -5.62950e+00  2.95050e+00  2.67050e+00 -5.01950e+00 -8.89500e-01]"
DWS Global Agribusiness LC,Hedge Fund,"(0, 0, 0)",547.9480313023755,"[-4.500e+00 -2.580e+00  2.260e+00  3.050e+00  3.340e+00  5.290e+00
  2.760e+00  4.210e+00 -1.000e+00  2.440e+00 -1.930e+00 -1.050e+00
  2.080e+00 -4.500e+00 -1.330e+00 -3.950e+00 -1.072e+01  1.003e+01
 -2.690e+00  1.250e+00  5.260e+00  4.010e+00  1.270e+00 -2.300e-01
 -4.130e+00  5.090e+00  5.970e+00 -2.720e+00  1.310e+00 -1.510e+00
  4.500e-01 -2.000e-02  5.200e+00  6.300e-01  1.300e+00 -1.620e+00
  6.900e-01 -7.300e+00 -4.670e+00 -1.400e+00  2.950e+00  2.440e+00
 -4.800e-01 -8.000e-02 -2.670e+00  2.840e+00  3.800e+00  4.400e-01
  3.320e+00  1.130e+00 -1.340e+00  2.680e+00  5.000e-02 -6.000e-02
  1.410e+00  1.030e+00  9.200e+00  3.480e+00 -1.840e+00  1.000e-02
  2.330e+00 -2.130e+00 -4.100e+00 -8.130e+00 -7.940e+00  5.820e+00
  2.440e+00 -5.700e+00 -1.080e+01  4.110e+00  7.000e-01  2.100e+00
  4.800e-01 -1.620e+00  3.630e+00  3.360e+00 -5.710e+00  9.000e-01
  3.150e+00  4.400e+00  8.300e-01  1.720e+00 -1.050e+00 -1.600e-01
 -9.900e-01 -3.010e+00  7.900e-01 -9.200e-01  4.620e+00  3.040e+00
 -4.900e-01  2.310e+00 -7.900e-01 -1.190e+00 -5.100e+00  3.620e+00
  4.030e+00  9.800e-01  2.250e+00  2.300e+00]"
DWS Global Agribusiness FC,Hedge Fund,"(0, 0, 0)",548.5904720745898,"[-4.410e+00 -2.560e+00  2.310e+00  3.140e+00  3.370e+00  5.320e+00
  2.830e+00  4.280e+00 -1.000e+00  2.490e+00 -1.980e+00 -1.000e+00
  2.120e+00 -4.440e+00 -1.240e+00 -3.960e+00 -1.072e+01  1.023e+01
 -2.550e+00  1.340e+00  5.370e+00  4.100e+00  1.330e+00 -2.300e-01
 -4.080e+00  5.130e+00  6.020e+00 -2.680e+00  1.340e+00 -1.490e+00
  5.100e-01  1.000e-02  5.240e+00  6.700e-01  1.360e+00 -1.550e+00
  7.600e-01 -7.250e+00 -4.400e+00 -1.300e+00  2.990e+00  2.520e+00
 -4.200e-01 -3.000e-02 -2.570e+00  2.890e+00  3.680e+00  4.300e-01
  3.230e+00  1.200e+00 -1.280e+00  2.740e+00  1.100e-01  1.000e-02
  1.390e+00  1.140e+00  9.320e+00  3.500e+00 -1.760e+00  4.000e-02
  2.440e+00 -2.060e+00 -4.050e+00 -8.270e+00 -7.850e+00  5.890e+00
  2.500e+00 -5.650e+00 -1.075e+01  4.210e+00  7.600e-01  2.160e+00
  5.500e-01 -1.570e+00  3.700e+00  3.430e+00 -5.640e+00  9.000e-01
  3.210e+00  4.400e+00  8.900e-01  1.780e+00 -9.900e-01 -1.600e-01
 -9.200e-01 -2.950e+00  8.500e-01 -8.600e-01  4.690e+00  3.110e+00
 -4.300e-01  2.370e+00 -7.300e-01 -1.130e+00 -5.000e+00  3.680e+00
  4.070e+00  9.800e-01  2.310e+00  2.400e+00]"
Reindeer Trek L.P,Hedge Fund,"(0, 0, 0)",548.7353279341236,"[  4.9223  -7.5677   1.1323  -5.8577   5.1823   3.1823   2.1223   5.9223
  -2.1377   4.6323   0.8823  -0.7777  -2.0677  -4.8477  -5.5177 -10.6177
   0.3923   5.5023  -5.7677  -5.8477   4.1423   5.9323  -0.0277  -4.8277
  -2.2577  -1.2677  -0.8577  -2.7877   1.9923  -3.3677   1.2723   1.0523
  -0.6077  -3.8577   6.0523   0.9823   9.1323  -3.2977   6.3123   1.5523
   1.3823  -2.1377  -2.6277  -3.0577  -4.8277   1.8423   0.5523  -0.0177
   0.7423   2.5323  -1.8877  -0.6077  -4.3877   3.5023   1.1323  -2.6577
  -3.5177   8.6123  -4.6277   5.6123  -0.4477   3.6623  -0.8377  -0.6677
  -0.7277   1.3623  -2.3577   0.0523   2.6323   0.7023  -0.2477  -0.4977
  -1.4377  -2.1577   3.4023   3.1323  -1.8077  -1.6577  -0.4177   0.9023
  -2.5777  -1.4877  -2.4277  -4.8077  -1.1577  -1.9377   2.2923   0.6223
   2.8823   2.7723   0.1323  -3.2577   2.8123  -7.8577   4.5923  -0.1777
   4.0123   5.1423  -2.8377   6.9923]"
DWS Global Agribusiness A2 SGD,Hedge Fund,"(0, 0, 0)",548.9949199099403,"[ -9.03  -3.77   5.82   0.26   7.41   5.81  -1.69   3.77   1.29   2.67
  -0.34   0.64  -0.29  -4.47  -3.82  -3.65  -9.96   9.81  -3.74  -1.37
   2.94   5.76   1.6   -2.73  -6.53   5.69   0.9    0.14   1.89  -1.5
   0.68   1.95   9.21  -2.89  -0.5    0.14   1.95  -6.61  -2.77  -1.4
   3.75   1.79   0.65   2.38  -4.     4.2    3.12   0.69   1.4    0.95
  -3.38   1.89  -2.09  -0.03   2.4    0.     3.89   2.94  -4.99   0.19
   2.74  -0.51  -3.42  -4.19  -7.53   2.84  -1.2   -2.36 -10.83   3.17
   0.77   2.45   0.56  -4.2    3.86   4.61  -5.19   0.7    2.49   4.9
   0.59  -0.67  -0.52   2.02   0.85  -1.81   2.24   0.08   4.08   2.
   0.94   1.87   0.88  -2.03  -5.1    2.66   1.43   2.73   2.66   2.4 ]"
Spitfire Fund LP,Hedge Fund,"(0, 0, 0)",549.9437949861596,"[-3.36090e+00  1.03910e+00  2.53910e+00 -5.66090e+00  1.83910e+00
  4.13910e+00  2.23910e+00  9.43910e+00 -3.66090e+00  3.43910e+00
  1.63910e+00  8.39100e-01 -8.60900e-01 -7.60900e-01 -3.76090e+00
 -8.56090e+00 -9.16090e+00  1.10391e+01 -1.41090e+00  2.43910e+00
  3.13910e+00  2.26910e+00  4.27910e+00  8.59100e-01 -3.32090e+00
  3.43910e+00 -2.30090e+00  2.27910e+00  2.13910e+00 -2.09000e-02
  9.10000e-03  1.34910e+00  2.21910e+00  4.19100e-01  1.28910e+00
 -3.95090e+00  4.11910e+00  5.69100e-01  1.20910e+00 -3.48090e+00
  5.79910e+00 -1.60900e-01  1.82910e+00  2.25910e+00 -2.93090e+00
  5.34910e+00 -7.70900e-01 -7.30900e-01 -2.10090e+00 -1.00090e+00
 -3.73090e+00  9.69100e-01 -4.78090e+00  5.29910e+00 -1.69090e+00
 -5.90900e-01 -5.22090e+00  7.30910e+00  2.39910e+00 -2.38090e+00
  1.09910e+00  1.39100e-01 -3.88090e+00 -4.72090e+00 -3.87090e+00
  1.82910e+00 -8.20900e-01 -5.71090e+00 -1.01109e+01 -3.70900e-01
  9.44910e+00 -4.20900e-01  8.89100e-01 -2.07090e+00  5.63910e+00
  5.19100e-01 -1.50900e-01 -3.07090e+00  7.17910e+00  1.70910e+00
 -2.69090e+00 -1.33090e+00 -2.61090e+00  3.31910e+00 -7.60900e-01
 -1.83090e+00 -5.20900e-01  8.59100e-01  4.49910e+00 -1.28090e+00
 -8.50900e-01  1.30910e+00 -3.26090e+00 -5.75090e+00 -5.80900e-01
 -1.38090e+00 -3.60090e+00  1.26910e+00 -1.04090e+00 -2.08090e+00]"
GAM Star Asia Pacific Equity CHF (Acc),Hedge Fund,"(1, 0, 1)",550.1176310103456,"[-7.2        -6.98815724  2.64594012 -6.57599049  6.31129611 -0.96407723
  4.61235094 -0.9004025   1.76379807  1.17650039 -4.71155482 -3.83694333
 -2.61316102 -2.14619021 -5.00856482 -6.40402711  3.56858747  3.13553785
 -2.2544336   3.250822    5.52383223  1.60394529 -1.19507788  0.98363539
 -4.79809595  3.44841506  3.70372769 -2.37814187  1.46475731 -0.94540658
  1.90813493  1.33034026  3.5452885   3.74928332  2.25932013  4.22107358
 -2.06994389 -2.40133661  0.48663674 -2.36390112  6.31517281  0.8351514
  1.20889225 -1.82877416 -0.95666835 -1.88587054 -1.00029977 -3.2659556
  6.13799971  1.03147521  4.97296966 -2.70291995  2.35485162 -1.05697956
  1.55922446 -0.87863662 -5.07265279  7.75271257  2.06200645  4.05500961
  0.70772739 -3.28204493 -0.31046916 -8.62318017 -2.87798245 10.59995169
  1.48505288 -2.94357069 -7.35038388 -4.9882671   3.21693812  2.06574186
  1.91463232 -5.00661655  7.33205775  1.57886346  1.7411734   1.83454496
  4.34344689 -2.13439441  3.45709802  2.57688378  1.52003766 -0.34206231
  0.30253667 -0.40975012  3.85154213 -1.03753247  3.53617023  5.70587382
  1.24169754  0.96573103  0.22668044 -2.25772523 -1.45348303  6.17261866
 -1.85962443 -1.15227774 -1.1102011  -3.28968287]"
GAM Star Asia Pacific Equity GBP (Acc),Hedge Fund,"(1, 0, 0)",550.3521447334754,"[-9.17       -3.77114183  2.454386   -3.29261524  6.26711329 -1.4336277
  3.84420508  5.03462304 -2.86205079  3.06373975 -4.53501075 -1.5204912
 -0.7082163   0.5248772  -2.3156355  -8.46017236 -5.33677733  6.76143898
 -5.56610939  2.1267212   6.51647998  1.68803539 -2.07598877 -0.82888842
 -5.89760449  3.82121925  1.84243432 -2.12283496  1.30765186  0.31361914
  2.57932788  1.39152954  6.24084448  5.24111596 -0.25527784  4.37775098
 -2.83364063 -1.77520898  3.06576905 -5.11350708  4.9967212   2.18492895
 -2.00553638 -0.36242138 -2.64978027  0.21200342 -1.68992676 -3.39137011
  4.76883668  0.92545458  2.57542871 -0.83252906 -0.85834985  1.35833692
  1.89655322 -2.36276172  5.54825074  0.89208105  4.68738476  2.82719091
  1.32319262 -6.26968116 -1.35930639 -7.62017236 -2.50308495  9.15635499
 -0.64314943  1.25226196 -6.52299439 -0.61968554  3.72607495  0.09522192
 -0.83322705  5.061271    7.89568725  1.86083592  2.36484277  7.27295996
 -1.84781984 -0.22624731  3.52962085  2.56672558  0.6653684  -2.55991382
  2.76937525 -0.01238257  1.10737183  2.01557519 -2.04930201  5.54862989
 -0.02543727  1.82421802 -0.31171045 -1.37699268 -4.54249463  6.17423951
  1.56900048 -1.88937525  0.10006031 -0.67045239]"
PSCO Partners L.P. Fund,Hedge Fund,"(0, 0, 0)",551.0928122278474,"[-8.3991 -5.0691  4.2709 -6.3191  6.0909  0.8709 -1.2391  5.9409  1.1809
  2.5309 -1.5391 -1.0991 -2.7791 -4.4191 -5.2491 -8.0791 -9.6891 10.5009
 -2.5491  1.2009  2.6209  2.1809  1.5709 -1.1691 -5.7891  2.9509 -2.8791
  1.7509  1.8909  0.4709 -0.0391 -0.6191  5.5509  0.4209  4.0109 -1.0091
  0.7509 -1.3291  4.7209 -4.8191  4.0909  3.3109  3.6709 -0.3191 -7.9291
  1.2509  1.6709 -1.2091 -0.5291  1.8309  3.0309  2.9709 -3.3491  3.7609
  0.1809  0.6809 -4.9891  4.1509  1.3209 -1.6691 -0.1391  2.7409  1.4709
 -6.2491 -1.0191  1.9709  0.7709 -3.8591 -7.3391 -2.0891  5.6809 -3.1791
  4.7309 -2.5591  0.3109  2.6509 -2.5091 -2.6391  9.3509  1.7109 -0.2791
  4.1609 -2.7891 -0.8391 -2.0491  0.7209  3.5509 -3.6491  1.7509  2.9809
  1.0909 -2.2591  2.9109 -4.1891 -1.0391 -1.5591 -0.6491 -2.2791  5.1309
  0.1509]"
GAM Star Asia Pacific Equity EUR (Acc),Hedge Fund,"(0, 0, 1)",551.4104787789063,"[ -6.75        -1.95014981   1.23608177  -2.99272283   3.53307327
  -1.58544307   6.80836207   2.26225818  -2.43415128   3.65625735
  -7.99561825  -0.97143393   0.42795753  -1.5948303    1.10066154
  -9.45961247  -0.48282133   4.33826946  -4.59268047   5.2349997
   5.97766104   0.41574249  -1.25183817   1.38664393  -4.83966526
   3.62549984   4.16191596  -3.81948181   1.67560088  -0.93044669
   1.7479175    1.271839     0.62845677   5.48605642   1.45616346
   3.60330559  -4.26264745  -1.15584351   0.78312956  -2.37183144
   6.98099179  -0.26002833   0.45369522  -0.73113488  -1.39090491
  -0.24929099  -1.94893494  -2.59259879   5.91506984   1.77107451
   3.23616658  -0.97271494   0.88827132   0.48241357   0.27183042
   0.3434138    8.7358791    3.13010339   4.52326576   1.69200377
   2.95553534  -5.39397294  -0.90871976 -10.27740462  -2.25249912
  12.14176075  -0.4641841   -2.99629582  -8.83604258  -2.39556785
   3.62680614   1.21159597   1.0732136   -3.50288896   7.4780499
   0.62821484   1.13611568   3.04170287   3.4049199   -1.2640519
   3.32963574   3.38438933  -0.42902284  -0.84490874  -0.64303544
  -0.0924853   -0.66734527  -0.63653049   2.83592128   4.84532711
  -0.31688674   1.05762297   0.63093004  -1.65454942  -3.77470997
   5.5946338    1.57956689  -2.86692269   0.01226683  -1.33300482]"
Pictet Health I EUR,Hedge Fund,"(0, 0, 0)",552.2391350442955,"[-5.70590e+00 -2.75900e-01  1.71410e+00 -1.11590e+00  4.63410e+00
  3.30410e+00 -4.47590e+00  2.09410e+00 -8.55900e-01 -2.86590e+00
 -2.15900e-01  3.22410e+00  1.05410e+00 -1.98590e+00 -5.90000e-03
 -1.01359e+01 -9.13590e+00  2.99410e+00 -2.22590e+00 -4.08590e+00
  6.45410e+00  1.59410e+00  1.07410e+00 -7.05900e-01 -8.76590e+00
  5.71410e+00  2.21410e+00  8.74100e-01  3.42410e+00 -1.23590e+00
 -1.37590e+00  1.35410e+00  1.63410e+00  7.41000e-02  2.69410e+00
  1.67410e+00 -2.71590e+00 -9.35900e-01  2.69410e+00 -3.80590e+00
  6.18410e+00  3.21410e+00  2.59410e+00  1.07410e+00  1.33410e+00
  9.36410e+00 -3.23590e+00  1.06410e+00 -2.35900e-01  5.39410e+00
 -1.43590e+00  3.97410e+00  1.69410e+00  3.50410e+00  1.35410e+00
 -3.18590e+00  1.51410e+00  4.47410e+00  1.02410e+00 -6.65900e-01
  1.97410e+00 -2.07590e+00  2.92410e+00 -1.00059e+01 -7.70590e+00
  3.26410e+00 -1.62590e+00 -7.75900e-01 -1.02059e+01 -1.63590e+00
 -2.61590e+00  1.14410e+00  4.34410e+00 -1.33590e+00  3.39410e+00
 -4.64590e+00 -2.17590e+00 -6.00590e+00  2.43410e+00 -4.59000e-02
  1.84100e-01  6.79410e+00 -1.61590e+00 -1.65900e-01 -4.44590e+00
  1.72410e+00 -3.50590e+00  8.41000e-02 -4.59000e-02 -2.23590e+00
 -1.44590e+00 -2.19590e+00  6.84100e-01 -3.52590e+00 -2.97590e+00
  1.59410e+00  5.49410e+00  1.27410e+00  4.35410e+00  4.48410e+00]"
Pictet Clean Energy R EUR,Hedge Fund,"(1, 0, 0)",552.2569374111558,"[ -4.44        -1.39062761   2.16056467  -3.89890516   1.60574957
   0.31019488  -0.24085699   3.70562912  -1.23479514   1.82251649
   2.55069358  -4.90363433  -2.72459722  -2.68741754  -3.16756945
  -7.18972765  -7.1431211    7.90281185  -0.532551     0.72914301
   4.65939236   2.22936936  -2.95474067  -0.63159353  -3.16773286
  -0.4894783    4.36925195  -1.49620529  -1.45034679  -0.98179991
   1.24392665   0.70019488   1.11034679   5.62305816   2.93408702
  -1.52439388   2.46322157  -3.12976215   4.12911154  -0.94931792
   6.74879622   2.21141862   2.02455425   2.10159353  -1.74388368
   4.69654058  -0.52691037  -1.63261393   3.88272287   2.53123524
  -4.13433941   6.50328754  -3.31701931   0.91483811   0.43708225
   2.07160503   5.85586697   5.66830599   4.31498698  -4.4505332
   6.71027235  -5.95867882  -3.62167947 -11.89967318  -2.30646007
   8.3931901    3.6601059   -6.97816862  -7.17775282   0.51416753
   2.51703928  -1.00333051   4.73648611  -3.5695243    3.9926799
   1.65329601   1.47983659  -1.56287478   2.73447982   1.10707075
   0.91536827   5.40813411   1.21876172  -1.31056467   0.57075955
  -3.39331901  -0.1379707    0.54648611   2.3821582    5.88063911
  -3.91224718  -1.27224414   0.75930642  -2.70537977  -0.57350239
   0.43623676   6.90627973  -5.01777886   0.95851541   0.76572656]"
