fund_name,levene_pvalue,is_homoscedastic,box_cox_lambda,transformation_applied
Falcon Point Small Cap Growth Strategy,0.05696030438238661,True,,False
G10 - Rosseau Special Situations Fund,0.19133591042250764,True,,False
"G10 - Rosseau Special Situations Fund (US), L.P.",0.18813234154098937,True,,False
Gabelli Associates Fund II LP,0.022347505944692272,False,0.693539328107497,True
Gabelli Associates Fund LP,0.05418042455283524,True,,False
GAM Star Asia Pacific Equity CHF (Acc),0.8080844707017593,True,,False
GAM Star Asia Pacific Equity EUR (Acc),0.8885351148756213,True,,False
GAM Star Asia Pacific Equity GBP (Acc),0.22305469823696558,True,,False
"Millennium International, Ltd.",0.3031436112110152,True,,False
Millennium USA LP,0.3084620769647122,True,,False
"Millrace Fund, L.P.",0.035058513698310444,False,0.8600463197769922,True
OC Dynamic Fund,0.011130961425265153,False,0.7343701856349625,True
OC Micro-Cap Fund,0.030343083728255428,False,0.7036689410959122,True
OC Premium Small Companies Fund,0.015985081346508653,False,0.7115445288943779,True
OCCO Eastern European Fund (Ex -Ollo E.Euro Opportunities Fund),0.8668880180467883,True,,False
"Ocean Park Investors, L.P.",0.2886370028371913,True,,False
"Ocean Partners, LLC",0.02522281797514619,False,0.7405737135892985,True
Odey European Inc. EURO,0.06938328085241315,True,,False
Odey European Inc. GBP Class A,0.06411824877688935,True,,False
Odey European Inc. GBP Class B,0.06419591135128995,True,,False
Odey European Inc. USD,0.06716223781155954,True,,False
"Odin Raven Fund, L.P.",0.29128381173090784,True,,False
Pictet Clean Energy I USD,0.1859345158817168,True,,False
Pictet Clean Energy P dy USD,0.18107424501769231,True,,False
Pictet Clean Energy P EUR,0.2659831436268455,True,,False
Pictet Clean Energy P USD,0.1803267996128311,True,,False
Pictet Clean Energy Pdy GBP,0.5841681367255678,True,,False
Pictet Clean Energy R EUR,0.26473611355594145,True,,False
Pictet Clean Energy R USD,0.17651302794154408,True,,False
Pictet Health I EUR,0.9712349999612174,True,,False
Pictet Health I USD,2.647551181096134e-06,False,0.977183054632308,True
Pictet Health P dy GBP,0.09014153117975889,True,,False
Pictet Health P EUR,0.9731017460978749,True,,False
Pictet Timber I EUR,0.5068559447508092,True,,False
Pictet Timber I USD,0.013262546063369839,False,0.741130578382207,True
Pictet Timber P dy GBP,0.06999948121635002,True,,False
Pictet Timber P dy USD,0.013684869145897234,False,0.7415130928848496,True
